Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
689	24645	0.427	30	32	34	46.1	54.1	40.9
688	1051	0.395	28	38	6	28.8	37.9	11.4
687	781	0.448	60	17	22	60	21.2	22.3
686	544	0.423	67	25	33	67.7	25.1	36.2
685	376	0.402	61	39	8	58.8	37.4	8.84
684	245	0.381	14	42	24	14.5	41.7	25.7
683	230	0.381	16	50	57	19.5	48.6	55.4
682	214	0.381	25	70	55	23.7	66.9	55.7
681	213	0.388	72	36	60	71.2	36.1	59.5
680	161	0.388	44	32	8	42.9	33.8	12.6
679	157	0.391	25	50	63	25.8	51.4	64.3
678	102	0.409	55	71	46	53.8	70.9	44.8
677	66	0.356	58	34	52	60.8	32.5	51.5
676	65	0.363	61	48	19	61.6	44.6	16.6
675	58	0.363	45	55	18	43.6	54.3	18.4
674	57	0.363	70	37	17	68.1	38.7	18.9
673	43	0.359	51	59	29	53.1	57.1	29.4
672	40	0.345	45	80	32	44.5	79.1	32.1
671	35	0.359	43	28	66	42.2	27.6	66.6
670	31	0.359	45	21	17	45.3	21.3	16.4
669	29	0.349	31	63	59	31.6	63.2	59.2
668	28	0.359	19	60	50	19.7	59.9	50.2
667	27	0.349	67	57	56	67	56.7	58
666	26	0.345	48	31	65	48	31.7	65.2
665	25	0.345	32	49	33	32.8	47.2	34.3
664	22	0.356	50	73	35	49.5	72.5	35.1
663	20	0.359	13	61	22	13.1	60.9	22
662	18	0.356	35	50	62	34.8	48.2	63.3
661	18	0.349	30	37	56	27.4	39.1	54.6
660	17	0.352	53	54	73	52.1	53.4	73.8
659	17	0.345	48	28	47	47.3	28.1	48.1
658	16	0.349	26	41	66	25.3	40.8	66.1
657	15	0.356	44	42	66	44.3	42.5	66.6
656	15	0.335	11	43	50	11.6	42.3	50.1
655	15	0.342	73	78	41	73.3	76.1	38.7
654	14	0.359	50	74	62	50.8	74.8	62.4
653	14	0.342	77	51	54	77.6	51.1	54.5
652	13	0.335	51	50	71	51.5	50.4	70.7
651	13	0.345	29	67	65	29.1	67	64.5
650	13	0.331	44	26	39	45.2	28.2	39.2
649	13	0.363	56	73	34	56	72.8	34.4
648	13	0.342	16	51	28	16.2	50.8	27.3
647	12	0.342	61	56	60	61.4	56	58.8
646	12	0.352	24	86	33	23.8	87.1	33.1
645	12	0.352	50	35	16	50.1	35.7	16.5
644	11	0.338	48	36	46	48.6	34.3	47
643	11	0.338	23	90	43	25.4	87.7	42
